airline_sentiment,text,cleaned_text
negative,@SouthwestAir @JulGood1 she was traveling with me the one that got miscommunicated with,she was traveling with me the one that got miscommunicated with
negative,"@SouthwestAir WTF, my flight was delayed and then I go to board and my boarding pass has disappeared from the Southwest app!",WTF my flight was delayed and then I go to board and my boarding pass has disappeared from the Southwest app
neutral,@SouthwestAir tweet just popped up on my phone with @amin_aur follows. Missing my favorite Southwest pilot and brother.,tweet just popped up on my phone with  follows Missing my favorite Southwest pilot and brother
neutral,@SouthwestAir do you have special fares for students to visit prospective schools?  It's expensive to visit graduate programs.,do you have special fares for students to visit prospective schools  Its expensive to visit graduate programs
neutral,@SouthwestAir I would be eternally grateful for tickets to the Vegas show ( ͡° ͜ʖ ͡°) God bless,I would be eternally grateful for tickets to the Vegas show   ʖ  God bless
neutral,@SouthwestAir PLEASE HELP! I would die to see the Vegas show! It would be amazing to hear their songs for real!,PLEASE HELP I would die to see the Vegas show It would be amazing to hear their songs for real
neutral,@SouthwestAir I am committed okay please hook me up for #DestinationDragons,I am committed okay please hook me up for DestinationDragons
negative,@SouthwestAir I would die if I got tickets to #DestinationDragons and you would be invited to my funeral,I would die if I got tickets to DestinationDragons and you would be invited to my funeral
negative,@SouthwestAir = easy and pleasant. @united = difficult and stressful. Learned my lesson.,easy and pleasant   difficult and stressful Learned my lesson
neutral,@SouthwestAir I would sell my nonexistent soul to go see #DestinationDragons,I would sell my nonexistent soul to go see DestinationDragons
positive,@SouthwestAir got it taken care of! thank you &lt;3,got it taken care of thank you lt3
negative,@SouthwestAir not sure I can trust a statement with that many small numbers above words. http://t.co/o3sRL1hfho,not sure I can trust a statement with that many small numbers above words
neutral,@southwestair has posted flight schedule covering the date range of @_defcon_ 23,has posted flight schedule covering the date range of  23
negative,@SouthwestAir Late Flightly you've always been Late Flight! Please get back to the old #SWA!!,Late Flightly youve always been Late Flight Please get back to the old SWA
negative,"@SouthwestAir Totally sucks that my flights were weathered out of existence, but Stacy in Tucson helped with an overnight in Vegas!",Totally sucks that my flights were weathered out of existence but Stacy in Tucson helped with an overnight in Vegas
negative,@SouthwestAir Gary Kelly should be ashamed of himself running a corporation in this way,Gary Kelly should be ashamed of himself running a corporation in this way
negative,@SouthwestAir you guys just rip me off if I could Cancelled Flight every flight I had booked for my employees I  would Buyer beware,you guys just rip me off if I could Cancelled Flight every flight I had booked for my employees I  would Buyer beware
negative,@SouthwestAir not if its travel Credit you used to buy and it expires on the day you find a lower rate,not if its travel Credit you used to buy and it expires on the day you find a lower rate
positive,@SouthwestAir please acknowledge Attendant Jeff Wernicke. Beat in class and service on SW,please acknowledge Attendant Jeff Wernicke Beat in class and service on SW
negative,@SouthwestAir just want the money I paid for early bird refunded. Noone seemed to be able at three different. SW should have that worked out,just want the money I paid for early bird refunded Noone seemed to be able at three different SW should have that worked out
positive,@SouthwestAir THANK YOU SO MUCH FOR ACCESS TO #DestinationDragons TONIGHT AT @theTroubadour 😁 @Imaginedragons Crying /dying rn #ripme,THANK YOU SO MUCH FOR ACCESS TO DestinationDragons TONIGHT AT    Crying dying rn ripme
neutral,@SouthwestAir aren't you based in Chicago? Why are you doing a hunt in LA and not your home city????!! Please bring one home,arent you based in Chicago Why are you doing a hunt in LA and not your home city Please bring one home
negative,@SouthwestAir heyo! What is causing flight 1836 ewr to hou to be delayed?,heyo What is causing flight 1836 ewr to hou to be delayed
neutral,@SouthwestAir when will you have flight from DAL to PVD?,when will you have flight from DAL to PVD
negative,"@SouthwestAir Your wifi stinks. I'm not mad, but i wouldn't hate it if i got my money refunded.",Your wifi stinks Im not mad but i wouldnt hate it if i got my money refunded
negative,@SouthwestAir Cancelled Flights arrivals &amp; departures in Nashville as of 5pm. That and more weather headlines @ 4pm #LiveOnFOX17 #FebruaryFreezeFox17,Cancelled Flights arrivals amp departures in Nashville as of 5pm That and more weather headlines  4pm LiveOnFOX17 FebruaryFreezeFox17
neutral,@SouthwestAir any spare tickets for Vegas? Would be forever grateful! #DestinationDragons,any spare tickets for Vegas Would be forever grateful DestinationDragons
neutral,@SouthwestAir @TheEllenShow @Imaginedragons if only that was me! 😍 #DestinationDragons,if only that was me  DestinationDragons
positive,@SouthwestAir THANK YOU SO MUCH!! http://t.co/tGSB1DfPS3,THANK YOU SO MUCH
neutral,@SouthwestAir any chance they will change this to include Northeast airports?  JetBlue has.,any chance they will change this to include Northeast airports  JetBlue has
negative,@SouthwestAir I was on hold for 30 minutes &amp; no one knows how to win these tickets that you're still handing out? #DestinationDragons,I was on hold for 30 minutes amp no one knows how to win these tickets that youre still handing out DestinationDragons
positive,@SouthwestAir rules.,rules
negative,@SouthwestAir no one I call knows anything about it so I'm just wondering how to get any? #DestinationDragons,no one I call knows anything about it so Im just wondering how to get any DestinationDragons
neutral,"@SouthwestAir I saw ppl were winning tickets still, how do we win some?",I saw ppl were winning tickets still how do we win some
negative,@SouthwestAir okaaaaay UGH IM 8 MIN AWAY,okaaaaay UGH IM 8 MIN AWAY
neutral,@SouthwestAir go @franks105 go!,go  go
positive,"@SouthwestAir   Happily, flight 1625 was not delayed when a cockpit visit blew my four-yr-old's mind. Thanks, Cap'n! http://t.co/C8mqEzXVdH",Happily flight 1625 was not delayed when a cockpit visit blew my fouryrolds mind Thanks Capn
neutral,@SouthwestAir  is there a route to flight from Mexico City to Chicago midway using your services?,is there a route to flight from Mexico City to Chicago midway using your services
positive,@SouthwestAir Flight 3056. Only an hour long but one of the best flights I've ever had. Kudos to flight crew and airline in general.,Flight 3056 Only an hour long but one of the best flights Ive ever had Kudos to flight crew and airline in general
neutral,@SouthwestAir how many are left?!,how many are left
negative,@southwestAir SWA agent Jacquie Plitt @Orangecounty SNA rudely tells me You're not going 2 CABO today or manana back 2 PHX flew @USAirways,SWA agent Jacquie Plitt  SNA rudely tells me Youre not going 2 CABO today or manana back 2 PHX flew
positive,"@SouthwestAir, thanks for being so good to us #military folk. It's cold in #StLouis but I sure enjoyed my flight. http://t.co/RcdH183Q1J",thanks for being so good to us military folk Its cold in StLouis but I sure enjoyed my flight
negative,@SouthwestAir thanks for losing my luggage,thanks for losing my luggage
negative,@SouthwestAir what about for us that cant get to the states they are playing for the hunt? Any DestinationDragons tickets left?Even just one,what about for us that cant get to the states they are playing for the hunt Any DestinationDragons tickets leftEven just one
neutral,"@SouthwestAir left behind iPad Air on flight 505 from Bradley to BWI, plane had already left by the time I realized. Can you possibly help?",left behind iPad Air on flight 505 from Bradley to BWI plane had already left by the time I realized Can you possibly help
neutral,@SouthwestAir how many left?! I'm 15 min wway,how many left Im 15 min wway
negative,@SouthwestAir well I HAD a car &amp; free place 2 stay had I known Unacceptable treatment from Spvsr. Sally in Cleveland. #Disappointed,well I HAD a car amp free place 2 stay had I known Unacceptable treatment from Spvsr Sally in Cleveland Disappointed
neutral,@SouthwestAir I cannot DM you as you do not follow me.,I cannot DM you as you do not follow me
negative,@SouthwestAir and this asshole cut in front of me. Your system blows. http://t.co/7ujt8VTCpa,and this asshole cut in front of me Your system blows
neutral,@SouthwestAir I'm 30 mins out WAIT FOR ME😭😭😭,Im 30 mins out WAIT FOR ME
neutral,@SouthwestAir get me on flight 4146 to denver and I'll be more than happy !!!!!,get me on flight 4146 to denver and Ill be more than happy
neutral,@SouthwestAir will there a non-stop flight from Midway to Boise for this summer season? Looking to book at labor day trip.  Ty,will there a nonstop flight from Midway to Boise for this summer season Looking to book at labor day trip  Ty
negative,@SouthwestAir  over 15 minutes without talking to a human at what point would you recommend I call @AmericanAir http://t.co/ysqbVq6Mgb,over 15 minutes without talking to a human at what point would you recommend I call
neutral,@SouthwestAir can one use a companion pass w/ a points Flight Booking Problems or is it only cash fares? Thx!,can one use a companion pass w a points Flight Booking Problems or is it only cash fares Thx
neutral,@SouthwestAir IM NOT THO 😭😭💔💔💔💔💔💔💔,IM NOT THO
negative,@SouthwestAir so u guys Cancelled Flight #bna flights &amp; don't bother 2 alert passengers? What gives?,so u guys Cancelled Flight bna flights amp dont bother 2 alert passengers What gives
positive,@SouthwestAir oh I see what you did there! Thanks for supporting #PadresST.,oh I see what you did there Thanks for supporting PadresST
positive,@SouthwestAir yeah haha. Never been in one. It's expensive 😂😂 and we will!!!!! So much fun! #destinationdragons,yeah haha Never been in one Its expensive  and we will So much fun destinationdragons
positive,@SouthwestAir This has to be the best video I have seen ever! - #teamspirit https://t.co/X5JenA7NyE,This has to be the best video I have seen ever  teamspirit
positive,@SouthwestAir @SAMoore10 Thank you for your kind response.  The acknowledgement and apology go a long way! #southwestrocks,Thank you for your kind response  The acknowledgement and apology go a long way southwestrocks
negative,@SouthwestAir No thanks. After those 25+ minutes someone did eventually help us and took care of it.,No thanks After those 25 minutes someone did eventually help us and took care of it
negative,"@SouthwestAir Was going for the weekend for friend's birthday, so no point in reFlight Booking Problems.",Was going for the weekend for friends birthday so no point in reFlight Booking Problems
negative,Includes @KCIAirport “@SouthwestAir: Inclement weather may impact scheduled service in. ReFlight Booking Problems options available: http://t.co/KeyrpFlHil”,Includes   Inclement weather may impact scheduled service in ReFlight Booking Problems options available
neutral,"@SouthwestAir okay thank you :), also I did get a tweet earlier about 1.5 hrs ago saying I won &amp; should send a DM but then it was deleted?",okay thank you  also I did get a tweet earlier about 15 hrs ago saying I won amp should send a DM but then it was deleted
negative,@SouthwestAir yes but not with out an attitude and nasty comment,yes but not with out an attitude and nasty comment
positive,"@SouthwestAir you guys rock! So easy, quick, and affordable to change my flight. #bestairlineever #neverchange",you guys rock So easy quick and affordable to change my flight bestairlineever neverchange
neutral,"@SouthwestAir I have a credit that expires a month before my flight, is there any possible way I can have that extended?",I have a credit that expires a month before my flight is there any possible way I can have that extended
negative,"@SouthwestAir 4 hour delay in ATL due to ""air traffic control""....love missing an entire day of my vacation #unhappycustomer #mytimeismoney",4 hour delay in ATL due to air traffic controllove missing an entire day of my vacation unhappycustomer mytimeismoney
neutral,@SouthwestAir I have a question re: your ATL companion pass offer. I know I need 3 revenue flight roundtrips. What's a revenue flight? thnx,I have a question re your ATL companion pass offer I know I need 3 revenue flight roundtrips Whats a revenue flight thnx
negative,"@SouthwestAir#4569 Cancelled Flightled, had to get refund. Cancelled Flightlations happen. But the 25+ min phone wait &amp; painful music unacceptable. Come on...",4569 Cancelled Flightled had to get refund Cancelled Flightlations happen But the 25 min phone wait amp painful music unacceptable Come on
neutral,@southwestair How can I refer a friend for the Southwest Credit card for points?,How can I refer a friend for the Southwest Credit card for points
neutral,@SouthwestAir I have the DM from @SouthwestVerity if needed,I have the DM from  if needed
neutral,"@SouthwestAir hello I was talking with @SouthwestVerity but it says you moved here, they sent me a voucher but does not work can u help?",hello I was talking with  but it says you moved here they sent me a voucher but does not work can u help
neutral,@SouthwestAir  I can go.  I want to badly!!!!   I don't know how to DM.  Can I e-mail you?   Help!!!  wmn4life@hotmail.com,I can go  I want to badly   I dont know how to DM  Can I email you   Help  wmn4lifecom
positive,"Thank you for your help, Shannon! Great customer service, @SouthwestAir.",Thank you for your help Shannon Great customer service
negative,@SouthwestAir again another ride SW employee that printed out boarding passes. Deficiency in training obviously,again another ride SW employee that printed out boarding passes Deficiency in training obviously
positive,@SouthwestAir Thanks Lindsey &amp; the Southwest twitter team for great service &amp; a speedy resolution #LuvAgent #swa,Thanks Lindsey amp the Southwest twitter team for great service amp a speedy resolution LuvAgent swa
negative,@SouthwestAir Apparently mechanics had to be flown in to fix some planes...not the most assuring sign,Apparently mechanics had to be flown in to fix some planesnot the most assuring sign
neutral,@SouthwestAir how oh how do we get tickets! ?!,how oh how do we get tickets
neutral,"@SouthwestAir now accepting #Apple's Passbook app for boarding passes. App works on #iPhone &amp; #iPodTouch, not #iPad. http://t.co/XxSaomBdGS",now accepting Apples Passbook app for boarding passes App works on iPhone amp iPodTouch not iPad
positive,@SouthwestAir thank you! DMing now.,thank you DMing now
negative,@SouthwestAir did you Cancelled Flight ALL flights into BNA today??? #needtogethome,did you Cancelled Flight ALL flights into BNA today needtogethome
negative,@SouthwestAir huge problem with someone whose ticket was Cancelled Flighted mid trip. Can you DM?,huge problem with someone whose ticket was Cancelled Flighted mid trip Can you DM
negative,@SouthwestAir flights from sunny SFO delayed for hours and others Cancelled Flightled left and right with little updates. Any help @SouthwestAir?,flights from sunny SFO delayed for hours and others Cancelled Flightled left and right with little updates Any help
negative,"@SouthwestAir Please explain to reps, ignoring a technical issue and passing the buck is not a good business model. Lucky limited to 140",Please explain to reps ignoring a technical issue and passing the buck is not a good business model Lucky limited to 140
negative,"@SouthwestAir understood. Just frustrating, you buy early bird check on the day they go on sale at 6:30am and get mid 'b'. Feel ripped off.",understood Just frustrating you buy early bird check on the day they go on sale at 630am and get mid b Feel ripped off
neutral,"@SouthwestAir So that's what happens when your power level goes over 9,000... feet in the air.",So thats what happens when your power level goes over 9000 feet in the air
neutral,@SouthwestAir's CEO Kelly draws record crowd to @BWI_Airport Business Partnership breakfast http://t.co/CVba4olcBl http://t.co/wTa5pX70A5,s CEO Kelly draws record crowd to  Business Partnership breakfast
neutral,@SouthwestAir's CEO Kelly draws record crowd to @BWI_Airport Business Partnership breakfast http://t.co/hrvuKtpvn1 http://t.co/MY3dnVBZAZ,s CEO Kelly draws record crowd to  Business Partnership breakfast
negative,@SouthwestAir Please start charging for carryon luggage. #CarryOnBagsSlowEverybodyDown,Please start charging for carryon luggage CarryOnBagsSlowEverybodyDown
neutral,.@SouthwestAir I will if you can see about moving up my Brother in laws graduation to the 6th.  Thanks.,I will if you can see about moving up my Brother in laws graduation to the 6th  Thanks
neutral,@SouthwestAir will do. Thank you.,will do Thank you
neutral,"@SouthwestAir If there are any Imagine Dragons tickets left for tomorrow at 
@VelourLive here in Utah I would love to go I am available! :)","If there are any Imagine Dragons tickets left for tomorrow at 
 here in Utah I would love to go I am available"
neutral,@SouthwestAir so the fares I see for flights in fall are the ABSOULUTELY LOWEST they will be?,so the fares I see for flights in fall are the ABSOULUTELY LOWEST they will be
negative,@SouthwestAir will you please start offering services out of @triflight and @AshevilleAir to other airports.. Have to drive 3-4 hrs to use u,will you please start offering services out of  and  to other airports Have to drive 34 hrs to use u
positive,@SouthwestAir already booked my tickets for August 20th-30th!  Can't wait for my vacation!,already booked my tickets for August 20th30th  Cant wait for my vacation
negative,@SouthwestAir very frustrated. Bought early bird at 6:30am on day tickets were released and got mid-B ticket. Spend $50 for nothing,very frustrated Bought early bird at 630am on day tickets were released and got midB ticket Spend 50 for nothing
neutral,@SouthwestAir is that @MurraySawChuck,is that
neutral,@SouthwestAir Maybe it is just a machine...,Maybe it is just a machine
negative,"@SouthwestAir so, when your plane doesn't work the luxuries I paid for go away but you keep my money? I need that biz model.",so when your plane doesnt work the luxuries I paid for go away but you keep my money I need that biz model
negative,"@SouthwestAir y airline I fly with, but haven't seen anything like this yet!",y airline I fly with but havent seen anything like this yet
positive,@SouthwestAir That guy was the flight attendant on my last flight… he was hilarious! ☺,That guy was the flight attendant on my last flight he was hilarious
positive,@SouthwestAir thanks for the info and the quick response!,thanks for the info and the quick response
positive,@SouthwestAir shhhh i don't want something else to steal our deal😉,shhhh i dont want something else to steal our deal
negative,@SouthwestAir Cancelled Flighting flights 45 minutes before takeoff &amp; sitting for 45 min on the runway of the rescheduled flight #badservice,Cancelled Flighting flights 45 minutes before takeoff amp sitting for 45 min on the runway of the rescheduled flight badservice
positive,@SouthwestAir give this guy a raise....great start to flight from AZ to MKE..,give this guy a raisegreat start to flight from AZ to MKE
negative,@SouthwestAir - 800 is not int'l friendly,800 is not intl friendly
neutral,"@SouthwestAir ha, ha not a make or break for me either way!",ha ha not a make or break for me either way
negative,@SouthwestAir can you answer the phone so I can change my flight plans. Srsly.,can you answer the phone so I can change my flight plans Srsly
negative,@SouthwestAir you could be a little more accommodating with extending my flight credit.Whats 10 extra days!#notahappytraveler,you could be a little more accommodating with extending my flight creditWhats 10 extra daysnotahappytraveler
neutral,@SouthwestAir I would.,I would
negative,"@SouthwestAir if you are going to be inconsistent enforcing your rules, I'd prefer you not randomly take it out on freq flyers that obey",if you are going to be inconsistent enforcing your rules Id prefer you not randomly take it out on freq flyers that obey
neutral,@SouthwestAir can you show me some luv?Its 9 degrees and all this snow but Imdetermined to go to #DestinationDragons http://t.co/oXm6cWGaB7,can you show me some luvIts 9 degrees and all this snow but Imdetermined to go to DestinationDragons
negative,@SouthwestAir what does relay concerns really mean &amp; how/why do u keep letting people on flights with bags larger than u state are allowabl?,what does relay concerns really mean amp howwhy do u keep letting people on flights with bags larger than u state are allowabl
neutral,@SouthwestAir what number can we use to all from outside the US? Thx,what number can we use to all from outside the US Thx
negative,@SouthwestAir how long does it take for points from RR Shopping to post to my account? Got email saying I've earned points but don't see em,how long does it take for points from RR Shopping to post to my account Got email saying Ive earned points but dont see em
positive,@SouthwestAir oh my gosh! Going to dm you now! Thank you!,oh my gosh Going to dm you now Thank you
positive,@SouthwestAir THANK YOU SO MUCH YOURE AMAZING IM GOING TO CRY OMG,THANK YOU SO MUCH YOURE AMAZING IM GOING TO CRY OMG
negative,@SouthwestAir If you could get me on the 12:15 flight! My 10:10 has been delayed until 1:05.,If you could get me on the 1215 flight My 1010 has been delayed until 105
negative,"@SouthwestAir couldn't make flight, funds forfeited as a no show!! Was trying to book another flight using those funds, I'm out.",couldnt make flight funds forfeited as a no show Was trying to book another flight using those funds Im out
neutral,@SouthwestAir I DMed you :),I DMed you
negative,@SouthwestAir make this delay go away. Maybe upgrade me and Kats seats. We are headed to Columbus.,make this delay go away Maybe upgrade me and Kats seats We are headed to Columbus
neutral,@SouthwestAir  I have a flight 2/22 @930 am from Fort Lauderdale to bwi.. Can I Cancelled Flight that flight ? Flight 3458 trip I'd 314505529,I have a flight 222  am from Fort Lauderdale to bwi Can I Cancelled Flight that flight  Flight 3458 trip Id 314505529
neutral,@SouthwestAir @geekstiel Do you know when the last chance is?,Do you know when the last chance is
neutral,@SouthwestAir @Vindictive_tK Larry David works for southwest?,Larry David works for southwest
neutral,@SouthwestAir  flying Southwest for the first time to LGA with a layover in Atlanta!,flying Southwest for the first time to LGA with a layover in Atlanta
positive,@SouthwestAir Thank You. We'll be in touch! #MoveAboutTheCountry,Thank You Well be in touch MoveAboutTheCountry
negative,@SouthwestAir FJBFSC  all I need is receipt showing the 776.20 charge I have on my Amex not the 656.xx that I keep getting sent,FJBFSC  all I need is receipt showing the 77620 charge I have on my Amex not the 656xx that I keep getting sent
negative,@SouthwestAir have been doing that for hours already,have been doing that for hours already
positive,@SouthwestAir flight from BWI to ISP ready to go! Thanks for keeping us warm! #FrigidFriday http://t.co/bfPfW6eyKU,flight from BWI to ISP ready to go Thanks for keeping us warm FrigidFriday
positive,"@SouthwestAir Love, love, love this. Southwest Rocks!! Always!! https://t.co/q8VSfFRd1u",Love love love this Southwest Rocks Always
neutral,@SouthwestAir Who can I contact about requesting a charity donation? #ThankYou,Who can I contact about requesting a charity donation ThankYou
positive,@SouthwestAir shout out to the flight #4386 crew for taking amazing care of us on our double down flight! #thankyou,shout out to the flight 4386 crew for taking amazing care of us on our double down flight thankyou
positive,@SouthwestAir sure thing,sure thing
negative,@SouthwestAir why did you book my hotel twice?!?! Ahhhhh,why did you book my hotel twice Ahhhhh
positive,@SouthwestAir save mile to visit family in 2015 and this will impact how many times I can see my mother.  I planned and you change the rules,save mile to visit family in 2015 and this will impact how many times I can see my mother  I planned and you change the rules
positive,@SouthwestAir Jackpot!  #legroom http://t.co/ZO2iceG4lI,Jackpot  legroom
negative,"@SouthwestAir you were my go to airline now not so much!! You say you care but I now see not so much! Right now, you suck!!",you were my go to airline now not so much You say you care but I now see not so much Right now you suck
negative,@SouthwestAir I have been loyal to Southwest from the beginning but very unhappy about your devaluation.,I have been loyal to Southwest from the beginning but very unhappy about your devaluation
neutral,@SouthwestAir #DestinationDragons iD is my favorite band and i met my 2bestfriends thanks to them! it would be life changing to see them!,DestinationDragons iD is my favorite band and i met my 2bestfriends thanks to them it would be life changing to see them
negative,@SouthwestAir  Longer flights with 300 series no wifi? Will be great when you retire them.,Longer flights with 300 series no wifi Will be great when you retire them
negative,"@southwestair excruciatingly slow internet on SWA flights is now the norm, rather than the exception. Is this being addressed?",excruciatingly slow internet on SWA flights is now the norm rather than the exception Is this being addressed
negative,"@SouthwestAir the sign in screen had major mobile issues, the responsive design wasn't working properly my Nexus 5.",the sign in screen had major mobile issues the responsive design wasnt working properly my Nexus 5
negative,@SouthwestAir sure did. Also read on there that Southwest doesn't believe it is liable for the incident. How is it my fault that SW lost it?,sure did Also read on there that Southwest doesnt believe it is liable for the incident How is it my fault that SW lost it
negative,@SouthwestAir it's too damn cold to be sitting on this runway with no heat!!!!!,its too damn cold to be sitting on this runway with no heat
neutral,@SouthwestAir Can you please follow so I can DM? Thx!,Can you please follow so I can DM Thx
neutral,@SouthwestAir sent DM,sent DM
positive,@SouthwestAir... I love you. Air travel doesn't get easier.,I love you Air travel doesnt get easier
positive,@SouthwestAir Received awesome phone help from Jim today. Helped me switch around flights booked with points.,Received awesome phone help from Jim today Helped me switch around flights booked with points
negative,"@SouthwestAir Repeating this is policy is basically repeating ""Fuck you"" to your customers. I'll be shopping for a new airline ASAP",Repeating this is policy is basically repeating Fuck you to your customers Ill be shopping for a new airline ASAP
negative,@SouthwestAir  Glad to see you know how to keep the money in your own pockets. 'Thanks' for the voucher in return for lost bag.,Glad to see you know how to keep the money in your own pockets Thanks for the voucher in return for lost bag
neutral,@SouthwestAir I would love to go to the #DestinationDragons @ImagineDragons show tomorrow in Utah at @VelourLive! I've been trying so hard.,I would love to go to the DestinationDragons  show tomorrow in Utah at  Ive been trying so hard
neutral,@SouthwestAir i hope i can take my selfie stick on the plane today! #goingtovegas,i hope i can take my selfie stick on the plane today goingtovegas
negative,@SouthwestAir that's bull. Once you add a fare to the cart you should be locked in. I made it all the way to PayPal.,thats bull Once you add a fare to the cart you should be locked in I made it all the way to PayPal
negative,@SouthwestAir having trouble with Wifi. No matter what I get redirected back to getconnected page even though it says I'm connected.,having trouble with Wifi No matter what I get redirected back to getconnected page even though it says Im connected
negative,@Southwestair is this account even aware of the #destinationdragons contest? The one youre fucking up for me?,is this account even aware of the destinationdragons contest The one youre fucking up for me
positive,@SouthwestAir Thank you! I can't wait either :),Thank you I cant wait either
negative,@SouthwestAir What does this even mean?  I'm taking about letting elite customers who paid for a seat fill a seat that will go empty anyway.,What does this even mean  Im taking about letting elite customers who paid for a seat fill a seat that will go empty anyway
positive,@southwestair SWEET!!! Glad to hear it. I'll keep you guys in mind next time!,SWEET Glad to hear it Ill keep you guys in mind next time
negative,@SouthwestAir hello. my flight is Cancelled Flightled for #destinationdragons and no one at your desk at KCI knows what the fuck is happening!!!!!!!!,hello my flight is Cancelled Flightled for destinationdragons and no one at your desk at KCI knows what the fuck is happening
positive,@SouthwestAir your employees at BWI have been amazing!,your employees at BWI have been amazing
positive,@SouthwestAir thanks for responding.,thanks for responding
negative,@Southwestair thanks for leaving me hanging here. #destinationdragons flights all fucked up now. No help?!,thanks for leaving me hanging here destinationdragons flights all fucked up now No help
neutral,"@SouthwestAir Hi! Winter Wx Advisory issued for STL. Snow &amp; Ice &amp; Cold, oh my! Will you issue a travel advisory for that?",Hi Winter Wx Advisory issued for STL Snow amp Ice amp Cold oh my Will you issue a travel advisory for that
neutral,"@SouthwestAir If a travel advisory is posted for DEN, can I then make changes to my ticket? Anything I need to know before I call?",If a travel advisory is posted for DEN can I then make changes to my ticket Anything I need to know before I call
negative,@SouthwestAir luxury! Only 40 people on this flight. I'm going to get spoiled.,luxury Only 40 people on this flight Im going to get spoiled
negative,"@southwestair three flights with three  check in agents, not enough. #missedflight  back to Jet Blue",three flights with three  check in agents not enough missedflight  back to Jet Blue
positive,@SouthwestAir when are you releasing your flights for September? Just found out you fly direct lbb to las! So excited! #tripofalifetime,when are you releasing your flights for September Just found out you fly direct lbb to las So excited tripofalifetime
positive,@SouthwestAir was fantastic! That's the best flight service I've ever had.,was fantastic Thats the best flight service Ive ever had
negative,"@SouthwestAir Promotion also said two free round trip flights. Nope, had to pay $200 extra for chi to Vegas. Bait&amp;switch.",Promotion also said two free round trip flights Nope had to pay 200 extra for chi to Vegas Baitampswitch
negative,"@SouthwestAir so for an extra luggage, it cost $75????",so for an extra luggage it cost 75
negative,@SouthwestAir turned my non-stop flight between Laguardia/dal into a 1 stop in STL. WTH? I'm thinking some sorta comp is in order? REALLY?,turned my nonstop flight between Laguardiadal into a 1 stop in STL WTH Im thinking some sorta comp is in order REALLY
positive,"@SouthwestAir Flying with you in about 2 weeks, bringing blankets bc it's freezing!😜",Flying with you in about 2 weeks bringing blankets bc its freezing
negative,@SouthwestAir last 5 flights have all consistently ran behind schedule what's up with that ??,last 5 flights have all consistently ran behind schedule whats up with that
neutral,@SouthwestAir how about some sweet promo code to help me visit my family!!!.... Please!!!... Lol,how about some sweet promo code to help me visit my family Please Lol
negative,"@SouthwestAir my sinuses had to contend with two painful landings rather than one, and we missed a preregistration window. Beyond frustrated",my sinuses had to contend with two painful landings rather than one and we missed a preregistration window Beyond frustrated
negative,"@SouthwestAir Why do airlines change ticket prices in the middle of the day
#annoyed","Why do airlines change ticket prices in the middle of the day
annoyed"
positive,@SouthwestAir LOVE IMAGINE DRAGONS  SO MUCH I EOULD DIE IF I GOT TICKETS,LOVE IMAGINE DRAGONS  SO MUCH I EOULD DIE IF I GOT TICKETS
positive,"@SouthwestAir I love imagine dragons o flipping much, pls #DestinationDragons",I love imagine dragons o flipping much pls DestinationDragons
negative,@SouthwestAir Another delay. Wow,Another delay Wow
negative,@SouthwestAir I don't want to be too whiny. We accommodated several passengers whose earlier flight was Cancelled Flightled. Our flight was very long.,I dont want to be too whiny We accommodated several passengers whose earlier flight was Cancelled Flightled Our flight was very long
positive,@SouthwestAir this would be an awesome experience #DestinationDragons,this would be an awesome experience DestinationDragons
positive,@SouthwestAir Hi! I ❤️ your company and fly all the time. I was wondering if you could please share this link &amp; read! http://t.co/lO6LghPcdU,Hi I  your company and fly all the time I was wondering if you could please share this link amp read
negative,@SouthwestAir I can't begin to tell you how slow my plane's wifi is. I can't even pull up an email.  What am i paying $8 for??,I cant begin to tell you how slow my planes wifi is I cant even pull up an email  What am i paying 8 for
neutral,@SouthwestAir do we get to pick which @Imaginedragons show? #DestinationDragons,do we get to pick which  show DestinationDragons
negative,@SouthwestAir BETSY is the BESTY! Gettin' stuck at #LAS might not be bad for most..but I want home! #homewardbound #betsy #besty #thankyou,BETSY is the BESTY Gettin stuck at LAS might not be bad for mostbut I want home homewardbound betsy besty thankyou
negative,"@SouthwestAir We should be landing at RIC right now, but haven't even left ATL. Should have picked Delta maybe?",We should be landing at RIC right now but havent even left ATL Should have picked Delta maybe
negative,@SouthwestAir I love ya but your bringin me down. An hour Late Flight leaving and now we've been sitting in the runway for 20 min 😥 #fail,I love ya but your bringin me down An hour Late Flight leaving and now weve been sitting in the runway for 20 min  fail
negative,"@SouthwestAir I have never been mor e disappointed in a company, charging $8 to use your wifi which only works for about 8 apps parhetic",I have never been mor e disappointed in a company charging 8 to use your wifi which only works for about 8 apps parhetic
negative,@SouthwestAir  Just picked up my bag at SEATAC all the clothes are soaking wet... #bagawim http://t.co/nGxAl9OmL6,Just picked up my bag at SEATAC all the clothes are soaking wet bagawim
neutral,"@SouthwestAir I notice that there are separate buttons for ""guitar"" and actual ""music"" in this pic. Some bands should take note of this.",I notice that there are separate buttons for guitar and actual music in this pic Some bands should take note of this
neutral,@SouthwestAir give me tickets to atlanta! I would do anything!  Anything 😆,give me tickets to atlanta I would do anything  Anything
negative,@SouthwestAir offering us absolutely nothing for our troubles either. Blames the @TSA,offering us absolutely nothing for our troubles either Blames the
negative,@SouthwestAir link doesn't work,link doesnt work
